run,scenario,channel,variant,first,detect,early,false,lead
90,abrupt,severity,internal_only,24.0,True,True,False,0.0
90,abrupt,severity,prism,24.0,True,True,False,0.0
91,abrupt,severity,severity_only,24.0,True,True,False,0.0
91,abrupt,severity,external_only,24.0,True,True,False,0.0
91,abrupt,severity,internal_only,24.0,True,True,False,0.0
91,abrupt,severity,prism,24.0,True,True,False,0.0
92,abrupt,severity,severity_only,21.0,False,False,False,
92,abrupt,severity,external_only,21.0,False,False,False,
92,abrupt,severity,internal_only,24.0,True,True,False,0.0
92,abrupt,severity,prism,24.0,True,True,False,0.0
93,abrupt,severity,severity_only,24.0,True,True,False,0.0
93,abrupt,severity,external_only,24.0,True,True,False,0.0
93,abrupt,severity,internal_only,24.0,True,True,False,0.0
93,abrupt,severity,prism,24.0,True,True,False,0.0
94,abrupt,severity,severity_only,,False,False,False,
94,abrupt,severity,external_only,25.0,True,False,False,-1.0
94,abrupt,severity,internal_only,24.0,True,True,False,0.0
94,abrupt,severity,prism,24.0,True,True,False,0.0
95,abrupt,severity,severity_only,24.0,True,True,False,0.0
95,abrupt,severity,external_only,24.0,True,True,False,0.0
95,abrupt,severity,internal_only,24.0,True,True,False,0.0
95,abrupt,severity,prism,24.0,True,True,False,0.0
96,abrupt,severity,severity_only,24.0,True,True,False,0.0
96,abrupt,severity,external_only,24.0,True,True,False,0.0
96,abrupt,severity,internal_only,24.0,True,True,False,0.0
96,abrupt,severity,prism,24.0,True,True,False,0.0
97,abrupt,severity,severity_only,24.0,True,True,False,0.0
97,abrupt,severity,external_only,24.0,True,True,False,0.0
97,abrupt,severity,internal_only,24.0,True,True,False,0.0
97,abrupt,severity,prism,24.0,True,True,False,0.0
98,abrupt,severity,severity_only,24.0,True,True,False,0.0
98,abrupt,severity,external_only,24.0,True,True,False,0.0
98,abrupt,severity,internal_only,24.0,True,True,False,0.0
98,abrupt,severity,prism,24.0,True,True,False,0.0
99,abrupt,severity,severity_only,24.0,True,True,False,0.0
99,abrupt,severity,external_only,24.0,True,True,False,0.0
99,abrupt,severity,internal_only,24.0,True,True,False,0.0
99,abrupt,severity,prism,24.0,True,True,False,0.0
100,abrupt,severity,severity_only,24.0,True,True,False,0.0
100,abrupt,severity,external_only,24.0,True,True,False,0.0
100,abrupt,severity,internal_only,24.0,True,True,False,0.0
100,abrupt,severity,prism,24.0,True,True,False,0.0
